문제번호,과목,문제,보기1,보기2,보기3,보기4,정답,해설,문제이미지,문제이미지너비,보기1이미지,보기1이미지너비,보기2이미지,보기2이미지너비,보기3이미지,보기3이미지너비,보기4이미지,보기4이미지너비,해설이미지,해설이미지너비
1,장비구조,기관의 실린더 수가 많을 때의 장점이 아닌 것은?,기관의 진동이 적다.,저속회전이 용이하고 큰 동력을 얻을 수 있다.,연료소비가 적고 큰 동력을 얻을 수 있다.,가속이 원활하고 신속하다.,3,"실린더 수가 많을 때의 특징
? 회전력의 변동이 적어 기관 진동과 소음이 적다.
? 회전의 응답성이 양호하다.
? 저속회전이 용이하고 출력이 높다.
? 가속이 원활하고 신속하다.
? 흡입공기의 분배가 어렵고 연료소모가 많다.
? 구조가 복잡하여 제작비가 비싸다.   ",,,,,,,,,,,,
2,장비구조,기관의 연료장치에서 희박한 혼합비가 미치는 영향으로 옳은 것은?,시동이 쉬워진다.,저속 및 공전이 원활하다.,연소속도가 빠르다.,출력(동력)의 감소를 가져온다.,4,"혼합비가 희박하면 기관 시동이 어렵고, 저속운전이 불량해지며, 연소속도가 느려 기관의 출력이 저하한다. ",,,,,,,,,,,,
3,장비구조,커먼레일 디젤기관의 흡기온도센서(ATS)에 대한 설명으로 틀린 것은?,주로 냉각팬 제어신호로 사용된다.,연료량 제어 보정신호로 사용된다.,분사시기 제어 보정신호로 사용된다.,부특성 서미스터이다.,1,"흡기온도 센서는 부특성 서미스터를 이용하며, 분사시기와 연료량 제어 보정신호로 사용된다. ",,,,,,,,,,,,
4,장비구조,수냉식 기관이 과열되는 원인으로 틀린 것은?,방열기의 코어가 20%이상 막혔을 때,규정보다 높은 온도에서 수온조절기가 열릴 때,수온조절기가 열린 채로 고정되었을 때,규정보다 적게 냉각수를 넣었을 때,3,,,,,,,,,,,,,
5,장비구조,윤활유의 구비조건으로 틀린 것은?,청정성이 있을 것,적당한 점도를 가질 것,인화점 및 발화점이 높을 것,응고점이 높고 유막이 적당할 것,4,,,,,,,,,,,,,
6,장비구조,배기터빈 과급기에서 터빈 축 베어링의 윤활방법으로 옳은 것은?,기관오일을 급유,오일리스 베어링 사용,그리스로 윤활,기어오일을 급유,1,,,,,,,,,,,,,
7,장비구조,에어컨 시스템에서 기화된 냉매를 액화하는 장치는?,응축기,건조기,컴프레서,팽창밸브,1,응축기는 고온 ? 고압의 기체냉매를 냉각에 의해 액체냉매 상태로 변화시킨다.,,,,,,,,,,,,
8,장비구조,도체 내의 전류의 흐름을 방해하는 성질은?,전하,전류,전압,저항,4,저항은 전자의 이동을 방해하는 요소이다.,,,,,,,,,,,,
9,장비구조,MF(Maintenance Free) 축전지에 대한 설명으로 적합하지 않는 것은?,격자의 재질은 납과 칼슘합금이다.,무보수용 배터리다.,밀봉 촉매마개를 사용한다.,증류수는 매 15일마다 보충한다.,4,MF 축전지는 증류수를 점검 및 보충하지 않아도 된다.,,,,,,,,,,,,
10,장비구조,충전장치의 역할로 틀린 것은?,램프류에 전력을 공급한다.,에어컨 장치에 전력을 공급한다.,축전지에 전력을 공급한다.,기동장치에 전력을 공급한다.,4,기동장치에 전력을 공급하는 것 : 축전지,,,,,,,,,,,,
11,장비구조,유압 실린더의 숨 돌리기 현상이 생겼을 때 일어나는 현상이 아닌 것은?,작동지연 현상이 생긴다.,서지압이 발생한다.,오일의 공급이 과대해진다.,피스톤 작동이 불안정하게 된다.,3,오일의 공급이 부족해진다.,,,,,,,,,,,,
12,장비구조,유압회로에서 작동유의 정상작동 온도에 해당되는 것은?,5~10℃,40~80℃,112~115℃,125~140℃,2,,,,,,,,,,,,,
13,장비구조,건설기계의 유압장치 취급방법으로 적합하지 않은 것은?,유압장치는 워밍업 후 작업하는 것이 좋다.,"유압유는 1주에 한 번, 소량씩 보충한다.",작동유에 이물질이 포함되지 않도록 관리 ? 취급하여야 한다.,작동유가 부족하지 않은지 점검하여야 한다.,2,,,,,,,,,,,,,
14,장비구조,난연성 작동유의 종류에 해당하지 않는 것은?,석유계 작동유,유중수형 작동유,물-글리콜형 작동유,인산 에스텔형 작동유,1,"난연성 작동유의 종류
? 난연성 작동유에는 비함수계(내화성을 갖는 합성물)와 함수계가 있다. 
? 비함수계의 작동유는 인산에스테르와 폴리올 에스테르가 있다.
? 함수계 작동유에는 수중유적형(O/W), 유중수적형(W/O), 물-글리콜계 등이 있다. ",,,,,,,,,,,,
15,점검,건설기계 작업 중 유압회로 내의 유압이 상승되지 않을 때의 점검사항으로 적합하지 않은 것은?,오일탱크의 오일량 점검,오일이 누출되었는지 점검,펌프로부터 유압이 발생되는지 점검,자기탐상법에 의한 작업장치의 균열 점검,4,"갑자기 유압상승이 되지 않을 경우 점검 내용 
? 유압펌프로부터 유압이 발생되는지 점검
? 오일탱크의 오일량 점검
? 릴리프 밸브의 고장인지 점검
? 오일이 누출되었는지 점검   ",,,,,,,,,,,,
16,장비구조,유압장치에서 가장 많이 사용되는 유압 회로도는?,조합 회로도,그림 회로도,단면 회로도,기호 회로도,4,일반적으로 많이 사용하는 유압 회로도는 기호 회로도이다.,,,,,,,,,,,,
17,장비구조,플런저가 구동축의 직각방향으로 설치되어 있는 유압모터는? ,캠형 플런저 모터,액시얼형 플런저 모터,블래더형 플런저 모터,레이디얼형 플런저 모터,4,레이디얼형 플런저 모터는 플런저가 구동축의 직각방향으로 설치되어 있다.  ,,,,,,,,,,,,
18,구조 및 기능,유압실린더의 움직임이 느리거나 불규칙 할 때의 원인이 아닌 것은?,피스톤 링이 마모되었다.,유압유의 점도가 너무 높다.,회로 내에 공기가 혼입되고 있다.,체크밸브의 방향이 반대로 설치되어 있다.,4,,,,,,,,,,,,,
19,장비구조,유압 실린더의 종류에 해당하지 않는 것은?,복동 실린더 싱글로드형,복동 실린더 더블로드형,단동 실린더 배플형,단동 실린더 램형,3,"유압 실린더의 종류에는 단동실린더, 복동 실린더(싱글로드형과 더블로드형), 다단 실린더, 램형 실린더 등이 있다.",,,,,,,,,,,,
20,장비구조,일반적인 오일탱크의 구성품이 아닌 것은?,스트레이너,유압태핏,드레인 플러그,배플 플레이트,2,"오일탱크는 유압펌프로 흡입되는 유압유를 여과하는 스트레이너, 탱크 내의 오일량을 표시하는 유면계, 유압유의 출렁거림을 방지하고 기포발생 방지 및 제거하는 배플 플레이트(격판) 유압유를 배출시킬 때 사용하는 드레인 플러그 등으로 구성된다.",,,,,,,,,,,,
21,안전관리,해머사용 시 안전에 주의해야 될 사항으로 틀린 것은?,해머사용 전 주위를 살펴본다.,담금질한 것은 무리하게 두들기지 않는다.,해머를 사용하여 작업할 때에는 처음부터 강한 힘을 사용한다.,대형해머를 사용할 때는 자기의 힘에 적합한 것으로 한다.,3,,,,,,,,,,,,,
22,안전관리,무거운 물건을 들어 올릴 때의 주의사항에 관한 설명으로 가장 적합하지 않은 것은?,장갑에 기름을 묻히고 든다.,가능한 이동식 크레인을 이용한다.,힘센 사람과 약한 사람과의 균형을 잡는다.,약간씩 이동하는 것은 지렛대를 이용할 수도 있다.,1,,,,,,,,,,,,,
23,안전관리,다음 중 전기설비 화재 시 가장 적합하지 않은 소화기는?,포말 소화기,이산화탄소 소화기,무상강화액 소화기,할로겐화합물 소화기,1,전기화재의 소화에 포말 소화기는 사용해서는 안 된다.,,,,,,,,,,,,
24,안전관리,다음 중 사용구분에 따른 차광보안경의 종류에 해당하지 않는 것은?,자외선용,적외선용,용접용,비산방지용,4,,,,,,,,,,,,,
25,안전관리,크레인 인양작업 시 줄걸이 안전 사항으로 적합하지 않은 것은?,신호자는 원칙적으로 1인이다.,신호자는 크레인운전자가 잘 볼 수 있는 안전한 위치에서 행한다.,2인 이상의 고리 걸이 작업 시에는 상호 간에 소리를 내면서 행한다.,권상작업 시 지면에 있는 보조자는 와이어로프를 손으로 꼭 잡아 하물이 흔들리지 않게 하여야 한다.,4,,,,,,,,,,,,,
26,안전관리,산업안전보건법상 산업재해의 정의에 대한 설명으로 옳은 것은?,고의로 물적 시설을 파손한 것을 말한다.,운전 중 본인의 부주의로 교통사고가 발생된 것을 말한다.,일상 활동에서 발생하는 사고로서 인적 피해에 해당하는 부분을 말한다.,근로자가 업무에 관계되는 건설물?설비?원재료?가스?증기?분진 등에 의하거나 작업 또는 그 밖의 업무로 인하여 사망 또는 부상하거나 질병에 걸리게 되는 것을 말한다.,4,,,,,,,,,,,,,
27,안전관리,산업재해 원인은 직접원인과 간접원인으로 구분되는데 다음 직접원인 중에서 불안전한 행동에 해당되지 않는 것은?,허가 없이 장치를 운전,불충분한 경보 시스템,결함 있는 장치를 사용,개인 보호구 미사용,2,,,,,,,,,,,,,
28,안전관리,다음 중 산소결핍의 우려가 있는 장소에서 착용하여야 하는 마스크의 종류는?,방독 마스크,방진 마스크,송기 마스크,가스 마스크,3,,,,,,,,,,,,,
29,안전관리,다음 중 가스안전 영향평가서를 작성하여야 하는 공사는?,도로 폭이 8m 이상인 도로,가스배관이 통과하는 지하보도,도로 폭이 12m 이상인 도로,가스배관의 매설이 없는 철도구간,2,,,,,,,,,,,,,
30,안전관리,22.9kV 배전선로에 근접하여 굴착기 등 건설기계로 작업 시 안전 관리상 맞는 것은?,안전관리자의 지시 없이 운전자가 알아서 작업한다.,전력선에 접촉되더라도 끊어지지 않으면 사고는 발생하지 않는다.,전력선이 활선인지 확인 후 안전조치 된 상태에서 작업한다.,해당 시설관리자는 입회하지 않아도 무관하다.,3,,,,,,,,,,,,,
31,건설기계관리법 및 도로교통법,도로교통법령에 따라 도로를 통행하는 자동차가 야간에 켜야 하는 등화의 구분 중 견인되는 차가 켜야 할 등화는?,"전조등, 차폭등, 미등","미등, 차폭등, 번호등","전조등, 미등, 번호등","전조등, 미등",2,,,,,,,,,,,,,
32,건설기계관리법 및 도로교통법,건설기계관리법령상 시 ? 도지사는 건설기계등록원부를 건설기계의 등록을 말소한 날부터 몇 년간 보존하여야 하는가?,3,5,7,10,4,,,,,,,,,,,,,
33,건설기계관리법 및 도로교통법,대형건설기계의 특별표지 중 경고표지판 부착 위치는?,작업인부가 쉽게 볼 수 있는 곳,조종실 내부의 조종사가 보기 쉬운 곳,교통경찰이 쉽게 볼 수 있는 곳,특별 번호판 옆,2,,,,,,,,,,,,,
34,건설기계관리법 및 도로교통법,도로에서 정차를 하고자 할 때의 방법으로 옳은 것은?,차체의 전단부가 도로 중앙을 향하도록 비스듬히 정차한다.,진행방향의 반대방향으로 정차한다.,차도의 우측 가장자리에 정차한다.,일방통행로에서 좌측 가장자리에 정차한다.,3,,,,,,,,,,,,,
35,건설기계관리법 및 도로교통법,교통사고로서 중상의 기준에 해당하는 것은?,1주 이상의 치료를 요하는 부상,2주 이상의 치료를 요하는 부상,3주 이상의 치료를 요하는 부상,4주 이상의 치료를 요하는 부상,3,,,,,,,,,,,,,
36,건설기계관리법 및 도로교통법,고속도로를 제외한 도로에서 위험을 방지하고 교통의 안전과 원활한 소통을 확보하기 위하여 필요 시 구역 또는 구간을 지정하여 자동차의 속도를 제한할 수 있는 자는?,경찰서장,국토교통부장관,시?도경찰청장,도로교통 공단 이사장,3,,,,,,,,,,,,,
37,건설기계관리법 및 도로교통법,건설기계의 조종 중 고의로 중상의 인명 피해를 입힌 때 면허처분 기준은?,면허 취소,면허 효력정지 30일,면허 효력정지 60일,면허 효력정지 90일,1,"면허취소 사유
? 면허정지 처분을 받은 자가 그 정지 기간 중에 건설기계를 조종한 경우
? 거짓 또는 부정한 방법으로 건설기계의 면허를 받은 경우
? 건설기계의 조종 중 고의로 인명 피해(사망?중상?경상)를 입힌 경우
? 술에 취한 상태에서 건설기계를 조종하다가 사람을 죽게 하거나 다치게 한 경우
? 약물(마약, 대마 등의 환각물질)을 투여한 상태에서 건설기계를 조종한 경우
? 정기적성검사를 받지 않거나 불합격한 경우
? 건설기계조종사면허증을 다른 사람에게 빌려 준 경우 
? 술에 만취한 상태(혈중 알코올농도 0.08% 이상)에서 건설기계를 조종한 경우",,,,,,,,,,,,
38,건설기계관리법 및 도로교통법,건설기계의 정비명령은 누구에게 하여야 하는가?,해당기계 운전자,해당기계 검사업자,해당기계 정비업자,해당기계 소유자,4,정비명령은 검사에 불합격한 해당 건설기계 소유자에게 한다.,,,,,,,,,,,,
39,건설기계관리법 및 도로교통법,"운전자가 진행방향을 변경하려고 할 때 신호를 하여야 할 시기로 옳은 것은?(단, 고속도로 제외)",변경하려고 하는 지점의 3m 전에서,변경하려고 하는 지점의 10m 전에서,변경하려고 하는 지점의 30m 전에서,"특별히 정하여져 있지 않고, 운전자 임의대로",3,진행방향을 변경하려고 할 때 신호를 하여야 할 시기는 변경하려고 하는 지점의 30m 전이다.,,,,,,,,,,,,
40,건설기계관리법 및 도로교통법,신호등이 없는 교차로에 좌회전하려는 버스와 그 교차로에 진입하여 직진하고 있는 건설기계가 있을 때 어느 차가 우선권이 있는가?,직진하고 있는 건설기계가 우선,좌회전하려는 버스가 우선,사람이 많이 탄 차가 우선,형편에 따라서 우선순위가 정해짐,1,,,,,,,,,,,,,
41,주행 및 작업,전부 장치가 부착된 굴착기를 트레일러로 수송할 때 붐이 향하는 방향으로 가장 적합한 것은?,앞 방향,뒷 방향,좌측 방향,우측 방향,2,트레일러로 굴착기를 운반할 때 작업 장치를 반드시 뒤쪽으로 한다.,,,,,,,,,,,,
42,주행 및 작업,토크컨버터 구성품 중 스테이터의 기능으로 맞는 것은?,오일의 흐름 방향을 바꾸어 회전력을 증대시킨다.,토크컨버터의 동력을 전달 또는 차단시킨다.,오일의 회전속도를 감속하여 견인력을 증대시킨다.,클러치판의 마찰력을 감소시킨다.,1,스테이터는 펌프와 터빈 사이의 오일 흐름방향을 바꾸어 회전력을 증대시킨다.,,,,,,,,,,,,
43,구조 및 기능,유압식 굴착기의 특징이 아닌 것은?,구조가 간단하다.,운전조작이 쉽다.,프런트 어태치먼트 교환이 쉽다.,회전부분의 용량이 크다.,4,"유압식 굴착기는 구조가 간단하고 운전조작이 쉬우며, 프런트 어태치먼트(작업 장치) 교환이 쉽고, 회전부분의 용량이 작다.",,,,,,,,,,,,
44,구조 및 기능,다음 중 굴착기 작업 장치의 구성요소에 속하지 않는 것은?,붐,디퍼스틱,버킷,롤러,4,,,,,,,,,,,,,
45,주행 및 작업,무한궤도식 굴착기에서 주행충격이 클 때 트랙의 조정방법 중 틀린 것은?,브레이크가 있는 경우에는 브레이크를 사용해서는 안 된다.,장력은 일반적으로 25~40cm이다.,2~3회 반복 조정하여 양쪽 트랙의 유격을 똑같이 조정하여야 한다.,전진하다가 정지시켜야 한다.,2,"트랙유격 조정방법
? 전진하다가 정지시킨다.
? 건설기계를 평지에 주차시킨다.
? 굴착기의 경우 트랙을 들고서 늘어지는 것을 점검한다.
? 2~3회 반복 조정하여 양쪽 트랙의 유격을 똑같이 조정한다.
? 장력은 일반적으로 25~40mm 이다. 
? 브레이크가 있는 경우에 브레이크를 사용해서는 안 된다.",,,,,,,,,,,,
46,주행 및 작업,다음 중 굴착기의 굴착력이 가장 클 경우는?,암과 붐이 일직선상에 있을 때,암과 붐이 45°선상을 이루고 있을 때,버킷을 최소작업 반경 위치로 놓았을 때,암과 붐이 직각위치에 있을 때,4,암과 붐의 각도가 80~110° 정도일 때 가장 큰 굴착력을 발휘한다.,,,,,,,,,,,,
47,안전관리,건설기계를 트레일러에 상?하차하는 방법 중 틀린 것은?,언덕을 이용한다.,기중기를 이용한다.,타이어를 이용한다.,건설기계 전용 상하차대를 이용한다.,3,,,,,,,,,,,,,
48,주행 및 작업,타이어식 건설기계의 액슬 허브에 오일을 교환하고자 한다. 오일을 배출시킬 때와 주입할 때의 플러그 위치로 옳은 것은?,"배출:1시 방향, 주입:9시 방향","배출:6시 방향, 주입:9시 방향","배출:3시 방향, 주입:9시 방향","배출:2시 방향, 주입:12시 방향",2,"액슬 허브 오일을 교환할 때 오일을 배출시킬 경우에는 플러그를 6시 방향에, 주입할 때는 플러그 방향을 9시에 위치시킨다.",,,,,,,,,,,,
49,주행 및 작업,굴착기로 작업 시 작동이 불가능하거나 해서는 안 되는 작동은 다음 중 어느 것인가?,굴착하면서 선회한다.,붐을 들면서 버킷에 흙을 담는다.,붐을 낮추면서 선회한다.,붐을 낮추면서 굴착 한다.,1,굴착기로 작업할 때 굴착하면서 선회를 해서는 안 된다. ,,,,,,,,,,,,
50,주행 및 작업,다음 중 효과적인 굴착작업이 아닌 것은?,붐과 암의 각도를 80~110°정도로 선정한다.,버킷 투스의 끝이 암(디퍼스틱)보다 안쪽 으로 향해야 한다.,버킷은 의도한대로 위치하고 붐과 암을 계속 변화시키면서 굴착한다.,굴착한 후 암(디퍼스틱)을 오므리면서 붐은 상승위치로 변화시켜 하역위치로 스윙한다.,2,버킷 투스의 끝이 암(디퍼스틱)보다 바깥쪽으로 향해야 한다.,,,,,,,,,,,,
51,점검,굴착기의 주행성능이 불량할 때 점검과 관계없는 것은?,트랙장력,스윙 모터,주행 모터,센터조인트,2,,,,,,,,,,,,,
52,주행 및 작업,덤프트럭에 상차작업 시 가장 중요한 굴착기의 위치는?,선회거리를 가장 짧게 한다.,암 작동거리를 가장 짧게 한다.,버킷 작동거리를 가장 짧게 한다.,붐 작동거리를 가장 짧게 한다.,1,덤프트럭에 상차작업을 할 때 굴착기의 선회거리를 가장 짧게 하여야 한다.,,,,,,,,,,,,
53,안전관리,타이어형 굴착기의 주행 전 주의사항으로 틀린 것은?,"버킷 실린더, 암 실린더를 충분히 눌려 펴서 버킷이 캐리어 상면 높이 위치에 있도록 한다.","버킷 레버, 암 레버, 붐 실린더 레버가 움직이지 않도록 잠가둔다.",선회고정 장치는 반드시 풀어 놓는다.,"굴착기에 그리스, 오일, 진흙 등이 묻어 있는지 점검한다.",3,선회고정 장치는 반드시 잠그고 주행한다.,,,,,,,,,,,,
54,구조 및 기능,무한궤도식 굴착기로 주행 중 회전 반경을 가장 적게 할 수 있는 방법은?,한쪽 주행 모터만 구동시킨다.,구동하는 주행 모터 이외에 다른 모터의 조향 브레이크를 강하게 작동시킨다.,2개의 주행 모터를 서로 반대 방향으로 동시에 구동시킨다.,트랙의 폭이 좁은 것으로 교체한다.,3,회전 반경을 적게 하려면 2개의 주행 모터를 서로 반대 방향으로 동시에 구동시킨다. 즉 스핀 회전을 한다.,,,,,,,,,,,,
55,장비구조,크롤러식 굴착기에서 상부회전체의 회전에는 영향을 주지 않고 주행모터에 작동유를 공급할 수 있는 부품은?,컨트롤 밸브,센터조인트,사축형 유압모터,언로더 밸브,2,"센터조인트는 상부회전체의 회전중심부에 설치되어 있으며, 상부회전체의 유압유를 주행모터로 전달한다. 또 상부회전체가 회전하더라도 호스, 파이프 등이 꼬이지 않고 원활히 공급한다.",,,,,,,,,,,,
56,주행 및 작업,크롤러형 굴착기에서 하부 추진체의 동력전달순서로 맞는 것은?,기관 → 트랙 → 유압모터 → 변속기 → 토크컨버터,기관 → 토크컨버터 → 변속기 → 트랙 → 클러치,기관 → 유압펌프 → 컨트롤밸브 → 주행 모터 → 트랙,기관 → 트랙 → 스프로킷 → 변속기 → 클러치,3,,,,,,,,,,,,,
57,구조 및 기능,굴착기의 밸런스 웨이트(balance weight)에 대한 설명으로 가장 적합한 것은?,작업을 할 때 장비의 뒷부분이 들리는 것을 방지한다.,굴착량에 따라 중량물을 들 수 있도록 운전자가 조절하는 장치이다.,접지 압을 높여주는 장치이다.,접지면적을 높여주는 장치이다. ,1,,,,,,,,,,,,,
58,구조 및 기능,굴착기의 상부회전체는 어느 것에 의해 하부주행체에 연결되어 있는가?,푸트핀,스윙 볼 레이스,스윙 모터,주행 모터,2,굴착기 상부회전체는 스윙 볼 레이스에 의해 하부주행체와 연결된다.,,,,,,,,,,,,
59,건설기계관리법 및 도로교통법,다음 중 왼쪽 한 방향용 도로명판에 대한 설명으로 알맞은 것은?,왼쪽과 오른쪽 양 방향용 도로 명판이다.,“ ← 65” 현 위치는 도로의 시작점이다.,대정로 23번 길은 65km이다.,대정로 23번 길 끝점을 의미한다.,4,"왼쪽 한 방향용 도로명판으로 대정로 23번 길 끝점을 의미하며 “ ← 65” 현 위치는 도로의 끝 지점, 65는 650m(65×10m)를 의미한다.",,,,,,,,,,,,
60,점검,작업 장치 핀 등에 그리스가 주유되었는가를 확인하는 방법으로 옳은 것은?,그리스 니플을 분해하여 확인한다.,그리스 니플을 깨끗이 청소한 후 확인한다.,그리스 니플의 볼을 눌러 확인한다.,그리스 주유 후 확인할 필요가 없다.,3,,,,,,,,,,,,,
